network,N,dw,sis,gr,ms
reactome,5973,11010.123,4776.150,12.108,37498.319
route_views,6474,8740.377,4411.966,8.985,13918.39
drosophila,2705,685.752,331.319,4.059,1329.444
powergrid,4941,239.407,165.819,6.091,431.616
email,1133,89.341,52.309,1.383,140.557
hk,1000,26.778,36.360,1.141,92.936
ba,1000,33.231,27.059,1.198,84.670
gkk,949,31.228,13.463,1.017,62.792
lfr,998,25.493,11.244,1.124,36.859
celegans,453,16.650,10.397,0.646,46.548
er,1000,13.860,15.878,1.565,37.903
proximity,410,8.801,5.304,0.588,20.323
euroroad,1039,13.949,4.764,1.108,4.727
dolphin,62,0.397,0.259,0.194,0.520
