network,N,M,dw,sis,gr,ms
prosper,89171,3329970,83975.903,,,
marker_cafe,69317,1644794,66331.901,,,
word_assoc,23132,297094,4737.702,4861.281,25.869,23798.16
enron,33696,180811,5708.006,6098.703,33.253,27630.244
internet_as,22963,48436,4406.908,4831.282,25.007,16601.324
tree_of_life,16415,440122,3934.294,3841.117,19.327,19769.549
spanish,11558,43050,3126.51,3914.736,11.337,13610.227
foldoc,13356,91471,1326.296,1526.348,11.407,6256.661
reactome,5973,145778,906.492,711.961,9.055,4855.691
route_views,6474,12572,1164.764,1151.516,9.709,4506.456
drosophila,2705,8458,92.261,51.142,2.745,286.172
powergrid,4941,6594,53.186,10.348,5.422,71.701
email,1133,5451,19.571,12.25,1.465,80.468
hk,1000,1996,14.406,7.281,0.778,50.348
ba,1000,1996,13.099,6.133,0.789,38.739
gkk,949,2496,6.193,2.257,0.784,16.285
lfr,998,1988,11.04,3.4,1.137,24.658
celegans,453,2025,16.596,13.037,0.564,67.644
er,1000,25132,22.697,8.675,1.213,88.988
proximity,410,2765,6.607,2.821,0.574,21.798
euroroad,1039,1305,6.03,1.622,1.267,8.729
dolphin,62,159,0.828,0.317,0.221,1.386
