network,dynamics,t,N
route_views,mutualistic,3167.864,6474
route_views,genereg,3448.393,6474
route_views,SIS,3773.712,6474
route_views,doublewell,3637.607,6474
reactome,mutualistic,2322.466,5973
reactome,genereg,2248.099,5973
reactome,SIS,2254.274,5973
reactome,doublewell,2362.878,5973
powergrid,mutualistic,1544.206,4941
powergrid,genereg,1486.079,4941
powergrid,SIS,1537.583,4941
powergrid,doublewell,1524.060,4941
drosophila,mutualistic,938.888,2705
drosophila,genereg,946.754,2705
drosophila,SIS,947.038,2705
drosophila,doublewell,955.713,2705
lfr,mutualistic,60.008,998
lfr,genereg,61.980,998
lfr,SIS,63.684,998
lfr,doublewell,64.109,998
hk,mutualistic,62.812,1000
hk,genereg,62.335,1000
hk,SIS,61.042,1000
hk,doublewell,62.164,1000
ba,mutualistic,61.914,1000
ba,genereg,62.064,1000
ba,SIS,63.154,1000
ba,doublewell,60.265,1000
gkk,mutualistic,49.884,949
gkk,genereg,48.952,949
gkk,SIS,49.362,949
gkk,doublewell,49.458,949
er,mutualistic,62.444,1000
er,genereg,61.076,1000
er,SIS,63.331,1000
er,doublewell,62.378,1000
email,mutualistic,73.989,1133
email,genereg,72.782,1133
email,SIS,73.347,1133
email,doublewell,76.373,1133
euroroad,mutualistic,66.014,1039
euroroad,genereg,67.301,1039
euroroad,SIS,68.480,1039
euroroad,doublewell,65.702,1039
proximity,mutualistic,18.700,410
proximity,genereg,18.111,410
proximity,SIS,19.445,410
proximity,doublewell,18.715,410
celegans,mutualistic,21.281,453
celegans,genereg,21.691,453
celegans,SIS,22.148,453
celegans,doublewell,21.360,453
dolphin,mutualistic,2.379,62
dolphin,genereg,2.417,62
dolphin,SIS,2.389,62
dolphin,doublewell,2.369,62
